"","title","abbrv","rank","pub_date","collection","nos","now","noc","awps","acpw","em","qm","punct","adj","adp","adv","aux","det","cconj","intj","sconj","noun","pron","propn","verb","num"
"1"," THE ADVENTURE OF THE THREE GABLES","3gab",56,"1926-Sep","casebook",593,6094,32239,10.2765598650927,5.29028552674762,36,84,1512,368,552,414,524,540,167,58,150,931,1136,256,859,46
"2"," THE ADVENTURE OF THE THREE GARRIDEBS","3gar",36,"1924-Oct","casebook",544,6242,33097,11.4742647058824,5.30230695289971,20,55,1317,425,632,394,499,579,196,52,136,1043,1040,285,804,61
"3"," THE ADVENTURE OF THE THREE STUDENTS","3stu",49,"1904-Jun","return",582,6509,34794,11.1838487972509,5.345521585497,23,78,1478,459,624,443,549,676,174,68,172,1066,1029,194,854,74
"4"," THE ADVENTURE OF THE ABBEY GRANGE","abbe",21,"1904-Sep","return",638,9248,48479,14.4952978056426,5.24210640138408,21,77,1657,593,902,598,789,908,333,55,274,1535,1538,271,1196,74
"5"," THE ADVENTURE OF THE BERYL CORONET","bery",48,"1892-May","adventures",647,9748,50732,15.0664605873261,5.20434961017645,43,78,1868,539,975,756,803,866,333,34,301,1518,1793,164,1366,82
"6"," THE ADVENTURE OF BLACK PETER","blac",28,"1904-Feb","return",583,8194,43509,14.0548885077187,5.3098608738101,10,64,1527,474,892,436,635,923,301,42,197,1482,1239,328,1055,81
"7"," THE BLANCHED SOLDIER","blan",51,"1926-Oct","casebook",561,7760,41113,13.8324420677362,5.29806701030928,15,44,1388,532,802,477,640,727,276,29,203,1250,1338,229,1036,49
"8"," THE ADVENTURE OF THE BLUE CARBUNCLE","blue",5,"1892-Jan","adventures",579,7886,41841,13.6200345423143,5.30573167638854,40,71,1767,457,913,515,570,844,271,64,199,1370,1200,291,1034,68
"9"," THE BOSCOMBE VALLEY MYSTERY","bosc",29,"1891-Oct","adventures",663,9689,51113,14.6138763197587,5.27536381463515,27,72,1849,588,1051,643,783,943,370,37,298,1548,1558,329,1276,71
"10"," THE ADVENTURE OF THE ","bruc",11,"1908-Dec","bow",932,10759,58802,11.543991416309,5.46537782321777,43,111,2271,739,1105,713,860,1186,338,48,243,1876,1575,455,1354,95
"11"," THE ADVENTURE OF THE CARDBOARD BOX","card",30,"1893-Jan","bow",523,8684,45714,16.604206500956,5.26416397973284,20,42,1487,475,980,621,695,799,353,32,263,1364,1438,315,1133,77
"12"," THE ADVENTURE OF CHARLES AUGUSTUS MILVERTON","chas",16,"1904-Mar","return",468,6775,36338,14.4764957264957,5.36354243542435,24,41,1261,432,740,400,469,724,264,24,154,1286,1068,181,902,49
"13"," THE ADVENTURE OF THE COPPER BEECHES","copp",19,"1892-Jun","adventures",678,10007,52779,14.759587020649,5.27420805436195,40,51,1899,668,1074,722,789,916,377,54,299,1594,1629,325,1272,85
"14"," THE ADVENTURE OF THE CREEPING MAN","cree",40,"1923-Mar","casebook",616,7726,42083,12.5422077922078,5.44693243593062,27,38,1473,555,799,488,584,783,260,31,223,1362,1194,295,982,44
"15"," THE CROOKED MAN","croo",34,"1893-Jul","memoirs",422,7186,38006,17.0284360189573,5.28889507375452,15,29,1209,431,818,463,577,764,275,23,214,1190,1122,229,911,70
"16"," THE ADVENTURE OF THE DANCING MEN","danc",9,"1903-Dec","return",666,9884,52416,14.8408408408408,5.30311614730878,17,60,1785,612,1060,648,758,989,363,32,286,1644,1556,353,1318,72
"17"," THE ADVENTURE OF THE DEVIL'S FOOT","devi",14,"1910-Dec","bow",642,10054,55000,15.6604361370717,5.47045951859956,18,53,1685,661,1177,631,692,1074,342,21,241,1843,1576,296,1286,50
"18"," THE ADVENTURE OF THE DYING DETECTIVE","dyin",25,"1913-Nov","bow",577,5824,31123,10.0935875216638,5.3439217032967,45,73,1359,381,557,353,494,504,166,45,135,928,1135,188,816,34
"19"," THE ADVENTURE OF THE EMPTY HOUSE","empt",8,"1903-Sep","return",513,8773,47204,17.1013645224172,5.38059956685284,16,37,1384,636,1026,531,593,933,338,21,228,1552,1310,320,1066,79
"20"," THE ADVENTURE OF THE ENGINEER'S THUMB","engr",33,"1892-Mar","adventures",523,8349,44383,15.9636711281071,5.31596598395017,31,41,1622,519,920,640,605,835,327,37,232,1372,1363,141,1137,84
"21"," THE FINAL PROBLEM","fina",7,"1893-Dec","memoirs",421,7208,38380,17.1211401425178,5.32463928967814,10,38,1182,405,844,469,555,740,242,22,191,1177,1180,209,979,49
"22"," THE FIVE ORANGE PIPS","five",23,"1891-Nov","adventures",479,7384,39246,15.4154488517745,5.31500541711809,17,47,1474,387,905,442,540,799,294,22,174,1310,1111,262,925,89
"23"," THE ""GLORIA SCOTT""","glor",32,"1893-Apr","memoirs",447,7912,41277,17.7002237136465,5.21701213346815,19,40,1483,444,873,477,596,819,345,22,252,1373,1273,195,1053,87
"24"," THE ADVENTURE OF THE GOLDEN PINCE-NEZ","gold",50,"1904-Jul","return",693,9113,48671,13.1500721500722,5.34083177877757,36,59,1730,568,991,542,706,1057,325,53,220,1603,1418,281,1182,48
"25"," THE GREEK INTERPRETER","gree",24,"1893-Sep","memoirs",472,7067,38162,14.9724576271186,5.40002830055186,13,42,1412,450,797,420,535,722,248,25,220,1201,1106,258,919,48
"26"," A CASE OF IDENTITY","iden",35,"1891-Sep","adventures",448,7022,37758,15.6741071428571,5.37710054115637,13,47,1401,482,720,525,509,656,290,37,224,1075,1102,277,931,52
"27"," THE ILLUSTRIOUS CLIENT","illu",27,"1924-Nov","casebook",744,9839,52197,13.2244623655914,5.3051123081614,43,72,1874,716,1028,571,823,937,308,48,264,1578,1652,414,1263,55
"28"," THE DISAPPEARANCE OF LADY FRANCES CARFAX","lady",42,"1911-Dec","bow",657,7738,41920,11.7777777777778,5.41742052209873,40,64,1551,509,815,499,648,802,266,27,184,1280,1194,359,1003,58
"29"," HIS LAST BOW","last",22,"1917-Sep","bow",480,6125,32755,12.7604166666667,5.34775510204082,23,42,1315,468,631,381,470,644,193,44,128,1039,968,281,767,49
"30"," THE ADVENTURE OF THE LION'S MANE","lion",31,"1926-Nov","casebook",553,7240,38838,13.0922242314647,5.36436464088398,24,50,1350,501,813,480,597,761,243,28,161,1250,1129,208,921,44
"31"," THE ADVENTURE OF THE MAZARIN STONE","maza",53,"1921-Oct","casebook",631,5710,30713,9.04912836767036,5.37880910683012,65,78,1544,371,540,420,460,549,169,53,114,961,993,230,770,33
"32"," THE ADVENTURE OF THE ","miss",52,"1904-Aug","return",601,8213,44255,13.6655574043261,5.38840862047973,34,67,1676,528,862,523,653,795,294,58,193,1396,1298,341,1040,61
"33"," THE MUSGRAVE RITUAL","musg",6,"1893-May","memoirs",408,7644,40589,18.7352941176471,5.30991627420199,7,48,1318,455,912,548,583,834,282,16,204,1346,1149,152,954,83
